1	0
2	0
3	0
4	0
5	0
6	0.001
7	0
8	0
9	0
10	0.001
11	0
12	0
13	0
14	0.001
15	0
16	0
17	0.001
18	0
19	0.001
20	0
21	0.001
22	0
23	0.001
24	0.001
25	0.001
26	0.001
27	0.001
28	0.001
29	0.001
30	0.001
31	0.001
32	0.002
33	0.002
34	0.002
35	0.002
36	0.001
37	0.002
38	0.002
39	0.003
40	0.002
41	0.002
42	0.003
43	0.002
44	0.003
45	0.003
46	0.004
47	0.003
48	0.003
49	0.003
50	0.005
51	0.004
52	0.003
53	0.004
54	0.004
55	0.004
56	0.005
57	0.004
58	0.005
59	0.005
60	0.005
61	0.006
62	0.005
63	0.006
64	0.006
65	0.006
66	0.006
67	0.006
68	0.006
69	0.007
70	0.007
71	0.007
72	0.007
73	0.008
74	0.008
75	0.007
76	0.009
77	0.007
78	0.009
79	0.008
80	0.008
81	0.009
82	0.009
83	0.009
84	0.011
85	0.009
86	0.009
87	0.01
88	0.009
89	0.011
90	0.01
91	0.01
92	0.011
93	0.013
94	0.012
95	0.011
96	0.011
97	0.014
98	0.012
99	0.012
100	0.012
101	0.014
102	0.017
103	0.016
104	0.016
105	0.017
106	0.014
107	0.013
108	0.014
109	0.018
110	0.016
111	0.015
112	0.015
113	0.015
114	0.016
115	0.015
116	0.017
117	0.018
118	0.017
119	0.017
120	0.017
121	0.018
122	0.019
123	0.019
124	0.022
125	0.019
126	0.02
127	0.02
128	0.025
129	0.021
130	0.021
131	0.024
132	0.023
133	0.022
134	0.024
135	0.022
136	0.024
137	0.023
138	0.026
139	0.025
140	0.025
141	0.026
142	0.027
143	0.027
144	0.026
145	0.028
146	0.028
147	0.028
148	0.029
149	0.029
150	0.03
151	0.029
152	0.03
153	0.031
154	0.034
155	0.032
156	0.031
157	0.033
158	0.035
159	0.032
160	0.034
161	0.033
162	0.034
163	0.033
164	0.034
165	0.036
166	0.036
167	0.036
168	0.036
169	0.037
170	0.038
171	0.037
172	0.039
173	0.044
174	0.041
175	0.039
176	0.041
177	0.041
178	0.046
179	0.042
180	0.043
181	0.043
182	0.043
183	0.043
184	0.045
185	0.045
186	0.045
187	0.044
188	0.045
189	0.047
190	0.047
191	0.049
192	0.051
193	0.053
